bin_lo,bin_hi,count,avg_confidence,accuracy
0.0,0.06666666666666667,0,,
0.06666666666666667,0.13333333333333333,0,,
0.13333333333333333,0.2,0,,
0.2,0.26666666666666666,5,0.24481445432979085,0.2
0.26666666666666666,0.3333333333333333,12,0.30451753548076144,0.3333333333333333
0.3333333333333333,0.4,39,0.3656519272406691,0.41025641025641024
0.4,0.4666666666666667,54,0.43560705957704976,0.3333333333333333
0.4666666666666667,0.5333333333333333,80,0.4991759582675015,0.6
0.5333333333333333,0.6,80,0.5649256988878572,0.65
0.6,0.6666666666666666,105,0.6368553235961317,0.8095238095238095
0.6666666666666666,0.7333333333333333,76,0.6978583359561223,0.7236842105263158
0.7333333333333333,0.8,162,0.7700865535301606,0.8580246913580247
0.8,0.8666666666666667,339,0.8356662198556684,0.9351032448377581
0.8666666666666667,0.9333333333333333,48,0.8746691680637458,1.0
0.9333333333333333,1.0,0,,
